state_name;affiliation_state;affiliation_country;affiliation_name;citied_by;cover_date;country_name;area_km2;year;month;total_paper_num;total_cited_num;paper_num_density;citation_density;academic_index;crdi_index
chandigarh;na;india;University Institute of Engineering and Technology;377;2020-09-01;;118.74026286874683;2020;9;2;385;0.41794445164979854;80.45430694258621;128.33333333333334;69.73519490918979
tokyo;na;japan;The University of Tokyo;15;2020-09-01;;2183.257105688409;2020;9;12;61;1.5606647857635991;7.933379327631629;4.6923076923076925;4.728783935234307
beijing;na;china;Beihang University;8;2020-09-01;;16251.925428963288;2020;9;63;4187;6.497505856398147;431.82630191649275;65.421875;167.91522759096364
brussels;na;belgium;European Commission Joint Research Centre;6;2020-09-01;;164.53809274643118;2020;9;3;56;0.5871759209938774;10.960617191885712;14.0;8.51593103762653
berlin;na;germany;Mercator Research Institute on Global Commons and Climate Change;51;2020-09-01;;889.247879319029;2020;9;8;157;1.1779430274068317;23.11713191285907;17.444444444444443;13.913173128236783
busan;na;southkorea;Pusan National University;16;2020-09-01;;282.09415249777265;2020;9;1;16;0.1771234589498613;2.833975343197781;8.0;3.6703662673825477
danang;na;vietnam;Duy Tan University;62;2020-09-01;;723.1585708778244;2020;9;3;210;0.45558014684873926;31.89061027941175;52.5;28.282063475420163
ulsan;na;southkorea;Ulsan National Institute of Science and Technology;19;2020-09-01;;1035.8002775231453;2020;9;2;20;0.2880228052335608;2.8802280523356076;6.666666666666667;3.2783058414119455
shanghai;na;china;State Key Laboratory of Ocean Engineering;2;2020-09-01;;6746.037435237712;2020;9;17;604;1.9281243362016747;68.50512347445951;33.55555555555556;34.66293445540558
dhaka;na;bangladesh;Jahangirnagar University;41;2020-08-26;;30548.5646266249;2020;8;10;169;0.9683255190365818;16.364701271718232;15.363636363636363;10.898887718130391
taoyuan;na;taiwan;National Central University;8;2020-08-21;;1280.2512128382045;2020;8;1;8;0.13975083341367292;1.1180066673093834;4.0;1.7525858335743523
beijing;na;china;University of International Business and Economics;3;2020-08-21;;16251.925428963288;2020;8;63;4187;6.497505856398147;431.82630191649275;65.421875;167.91522759096364
beijing;na;china;Beijing National Research Center for Information Science and Technology;1;2020-08-21;;16251.925428963288;2020;8;63;4187;6.497505856398147;431.82630191649275;65.421875;167.91522759096364
beijing;na;china;Tsinghua University;214;2020-08-10;;16251.925428963288;2020;8;63;4187;6.497505856398147;431.82630191649275;65.421875;167.91522759096364
tokyo;na;japan;Waseda University;9;2020-08-01;;2183.257105688409;2020;8;12;61;1.5606647857635991;7.933379327631629;4.6923076923076925;4.728783935234307
chittagong;na;bangladesh;East Delta University;67;2020-08-01;;29223.145232652496;2020;8;1;67;0.09725024411463178;6.515766355680329;33.5;13.371005533264986
budapest;na;hungary;Ericsson Hungary Ltd.;4;2020-08-01;;538.4248558570337;2020;8;12;568;1.9076374440737223;90.29483901948952;43.69230769230769;45.29826138529031
astana;na;kazakhstan;Nazarbayev University;6;2020-08-01;;619.8556676587763;2020;8;1;6;0.15549442741404412;0.9329665644842648;3.0;1.3628203306327695
shanghai;na;china;East China Normal University;19;2020-08-01;;6746.037435237712;2020;8;17;604;1.9281243362016747;68.50512347445951;33.55555555555556;34.66293445540558
beijing;na;china;Beijing Jiaotong University;8;2020-08-01;;16251.925428963288;2020;8;63;4187;6.497505856398147;431.82630191649275;65.421875;167.91522759096364
evora;na;portugal;University of Évora;8;2020-08-01;;7230.047045581439;2020;8;1;8;0.11253481247790001;0.9002784998232001;4.0;1.6709377707670334
nicosia;na;cyprus;Open University of Cyprus;15;2020-08-01;;1967.9460500993875;2020;8;3;53;0.3955042411378141;6.9872415934347165;13.25;6.877581944857511
shanghai;na;china;Key Laboratory of Road and Traffic Engineering of the State Ministry of Education;298;2020-08-01;;6746.037435237712;2020;8;17;604;1.9281243362016747;68.50512347445951;33.55555555555556;34.66293445540558
;na;unitedstates;Information Resources Management Association;3;2020-07-24;;22789.176045694046;2020;7;56;4907;5.580977324234948;489.03313803608734;86.08771929824562;193.56727821952265
;na;unitedstates;Information Resources Management Association;3;2020-07-24;;30.998015667873815;2020;7;56;4907;16.15847358100739;1415.8862475357723;86.08771929824562;506.0441468050085
;na;unitedstates;Information Resources Management Association;3;2020-07-24;;7.659317640299705;2020;7;56;4907;25.942308913799188;2273.1948185716537;86.08771929824562;795.0749489278995
;na;unitedstates;Information Resources Management Association;3;2020-07-24;;0.6005401661100286;2020;7;56;4907;119.06250791315946;10432.852255890597;86.08771929824562;3546.0008277006673
;na;unitedstates;Information Resources Management Association;3;2020-07-24;;3.0224599549822613;2020;7;56;4907;40.23295904691698;3525.4130364861003;86.08771929824562;1217.244571610421
;na;unitedstates;Information Resources Management Association;3;2020-07-24;;133.29701355842872;2020;7;56;4907;11.428445794526104;1001.4175627453499;86.08771929824562;366.3112426127072
;na;unitedstates;Information Resources Management Association;3;2020-07-24;;37.868741813126185;2020;7;56;4907;15.299750630131465;1340.6406489652695;86.08771929824562;480.6760396312156
shanghai;na;china;Tongji University;50;2020-07-20;;6746.037435237712;2020;7;17;604;1.9281243362016747;68.50512347445951;33.55555555555556;34.66293445540558
beijing;na;china;University of Science and Technology Beijing;16;2020-07-20;;16251.925428963288;2020;7;63;4187;6.497505856398147;431.82630191649275;65.421875;167.91522759096364
buenosaires;na;argentina;Centro Interdisciplinario de Investigaciones en Psicología Matemática y Experimental;21;2020-07-16;;306097.338493326;2020;7;1;21;0.07916614804866583;1.6624891090219822;10.5;4.080551752356882
beijing;na;china;Beijing Institute of Technology;7;2020-07-15;;16251.925428963288;2020;7;63;4187;6.497505856398147;431.82630191649275;65.421875;167.91522759096364
beijing;na;china;Beijing Jishuitan Hospital;4;2020-07-01;;16251.925428963288;2020;7;63;4187;6.497505856398147;431.82630191649275;65.421875;167.91522759096364
hsinchu;na;taiwan;National Chiao Tung University;6;2020-07-01;;1380.5120768171987;2020;7;4;277;0.5531788926554846;38.30763831639231;55.4;31.42027240301593
wexford;na;ireland;Environmental Protection Agency, Ireland;5;2020-07-01;;2338.4695301723236;2020;7;1;5;0.12890452638395497;0.6445226319197749;2.5;1.0911423861012433
budapest;na;hungary;Obuda University;117;2020-07-01;;538.4248558570337;2020;7;12;568;1.9076374440737223;90.29483901948952;43.69230769230769;45.29826138529031
tianjin;na;china;Tianjin University;65;2020-07-01;;11475.448711234842;2020;7;6;105;0.6418449343943531;11.23228635190118;15.0;8.95804376209851
beijing;na;china;Tsinghua University;5;2020-06-25;;16251.925428963288;2020;6;63;4187;6.497505856398147;431.82630191649275;65.421875;167.91522759096364
manila;na;philippines;FEU Institute of Technology;4;2020-06-14;;49.164154935471664;2020;6;3;20;0.7662246681761933;5.108164454507955;5.0;3.6247963742280493
tianjin;na;china;"Tianjin University of Science &amp; Technology";8;2020-06-01;;11475.448711234842;2020;6;6;105;0.6418449343943531;11.23228635190118;15.0;8.95804376209851
hanoi;na;vietnam;Đại học Công nghệ Giao thông vận tải;179;2020-06-01;;3303.2150049985735;2020;6;2;179;0.24682355952996352;22.090708577931736;59.666666666666664;27.334732934709454
daegu;na;southkorea;Kyungpook National University (KNU);32;2020-06-01;;465.5414087756015;2020;6;2;72;0.3254494939387102;11.716181781793567;24.0;12.013877091910759
beirut;na;lebanon;National Council for Scientific Research, Beirut;49;2020-06-01;;28.191829166599288;2020;6;1;49;0.29639387820169066;14.523300031882844;24.5;13.106564636694847
shanghai;na;china;Shanghai University;17;2020-06-01;;6746.037435237712;2020;6;17;604;1.9281243362016747;68.50512347445951;33.55555555555556;34.66293445540558
shanghai;na;china;East China Normal University;14;2020-06-01;;6746.037435237712;2020;6;17;604;1.9281243362016747;68.50512347445951;33.55555555555556;34.66293445540558
beijing;na;china;Tsinghua University;351;2020-06-01;;16251.925428963288;2020;6;63;4187;6.497505856398147;431.82630191649275;65.421875;167.91522759096364
hochiminhcity;na;vietnam;Ho Chi Minh City University of Technology - HUTECH;15;2020-06-01;;1908.347244541649;2020;6;3;425;0.397113424566161;56.257735146872804;106.25;54.301616190479656
berlin;na;germany;Max Planck UCL Centre for Computational Psychiatry and Ageing Research;19;2020-05-18;;889.247879319029;2020;5;8;157;1.1779430274068317;23.11713191285907;17.444444444444443;13.913173128236783
chongqing;na;china;Southwest University;37;2020-05-14;;82362.54643078936;2020;5;3;138;0.26504346462031636;12.191999372534552;34.5;15.652347612384956
paris;na;france;Institut national des langues et civilisations orientales;1;2020-05-07;;129.37618404881573;2020;5;1;1;0.2053209332484905;0.2053209332484905;0.5;0.303547288832327
brussels;na;belgium;European Commission Joint Research Centre;33;2020-05-03;;164.53809274643118;2020;5;3;56;0.5871759209938774;10.960617191885712;14.0;8.51593103762653
beijing;na;china;Beihang University;73;2020-05-02;;16251.925428963288;2020;5;63;4187;6.497505856398147;431.82630191649275;65.421875;167.91522759096364
beijing;na;china;Beijing Institute of Technology;16;2020-05-01;;16251.925428963288;2020;5;63;4187;6.497505856398147;431.82630191649275;65.421875;167.91522759096364
