state_name;affiliation_state;affiliation_country;affiliation_name;citied_by;cover_date;country_name;area_km2
;na;singapore;schoolofcivilandenvironmentalengineering;15;2023-07-01;;
hsinchu;na;taiwan;nationalyangmingchiaotunguniversity;1;2023-07-01;;1380.5120768171987
seoul;na;southkorea;yonseiuniversity;7;2023-07-01;;577.7896951119151
;na;luxembourg;universityofluxembourg;19;2023-07-01;;
beijing;na;china;universityofchineseacademyofsciences;2;2023-07-01;;16251.925428963288
chongqing;na;china;southwestuniversity;0;2023-07-01;;82362.54643078936
istanbul;na;turkiye;istinyeuniversitesi;14;2023-07-01;;4807.201088748707
;na;cyprus;universityofkyrenia;8;2023-07-01;;
;na;china;anhuiuniversityoffinanceandeconomics;14;2023-07-01;;
;na;singapore;schoolofcomputerscienceandengineering;5;2023-07-01;;
beijing;na;china;renminuniversityofchina;4;2023-07-01;;16251.925428963288
;na;singapore;schoolofcivilandenvironmentalengineering;17;2023-07-01;;
;na;singapore;nationaluniversityofsingapore;18;2023-07-01;;
;na;china;shenzheninstituteofadvancedtechnology;7;2023-07-01;;
beijing;na;china;statekeylaboratoryofhydroscienceandengineering;7;2023-06-30;;16251.925428963288
;na;;instadeep;10;2023-06-27;;22789.176045694046
;na;;instadeep;10;2023-06-27;;30.998015667873815
;na;;instadeep;10;2023-06-27;;7.659317640299705
;na;;instadeep;10;2023-06-27;;0.6005401661100286
;na;;instadeep;10;2023-06-27;;3.0224599549822613
;na;;instadeep;10;2023-06-27;;133.29701355842872
;na;;instadeep;10;2023-06-27;;37.868741813126185
beijing;na;china;beijingjiaotonguniversity;4;2023-06-25;;16251.925428963288
beijing;na;china;beijingnormaluniversity;0;2023-06-17;;16251.925428963288
;na;unitedkingdom;universitycollegelondon;2;2023-06-15;;
budapest;na;hungary;geographicalinstitute;13;2023-06-15;;538.4248558570337
;na;italy;universitadeglistudidinapolifedericoii;9;2023-06-15;;
reykjavik;na;iceland;centralbankoficeland;0;2023-06-12;;355.0193636220749
beijing;na;china;universityofchineseacademyofsciences;16;2023-06-10;;16251.925428963288
;na;singapore;singaporeuniversityoftechnologyanddesign;7;2023-06-07;;
beijing;na;china;ministryofnaturalresourcesofthepeople'srepublicofchina;0;2023-06-05;;16251.925428963288
;na;singapore;singaporehealthservices;0;2023-06-01;;
ljubljana;na;slovenia;"institut""jozefstefan""";4;2023-06-01;;276.4264340186147
;na;czechrepublic;masarykuniversity;3;2023-06-01;;
;na;na;na;0;2023-06-01;;
taoyuan;na;taiwan;nationaldefenseuniversitytaiwan;11;2023-06-01;;1280.2512128382045
;na;india;jamiamilliaislamia;23;2023-06-01;;
beijing;na;china;beihanguniversity;3;2023-06-01;;16251.925428963288
beijing;na;china;beijinglanguageandcultureuniversity;3;2023-06-01;;16251.925428963288
;na;israel;arieluniversity;5;2023-06-01;;
;na;macao;macauuniversityofscienceandtechnology;6;2023-06-01;;
;na;italy;niccolocusanouniversity;9;2023-06-01;;
;na;libya;libyanauthorityforscientificresearch;29;2023-06-01;;
;na;na;na;1;2023-06-01;;
brussels;na;belgium;europeancommissionjointresearchcentre;12;2023-06-01;;164.53809274643118
beijing;na;china;chinameteorologicaladministration;22;2023-06-01;;16251.925428963288
;na;unitedkingdom;britishtelecommunicationsplc;19;2023-06-01;;
bogota;na;colombia;universidadsantotomas;9;2023-06-01;;1669.990644816934
;na;bruneidarussalam;ubdschoolofbusinessandeconomics;7;2023-06-01;;
madrid;na;spain;esicuniversity;30;2023-06-01;;8000.7993162945595
istanbul;na;turkiye;istinyeuniversitesi;9;2023-06-01;;4807.201088748707
;na;israel;collegeofsakhninforteachereducation;0;2023-06-01;;
yogyakarta;na;indonesia;universitasahmaddahlan;4;2023-06-01;;3040.9786266081396
valparaiso;na;chile;universidadtecnicafedericosantamaria;6;2023-06-01;;16821.751222189283
beijing;na;china;tsinghuauniversity;10;2023-06-01;;16251.925428963288
chongqing;na;china;southwestuniversity;11;2023-06-01;;82362.54643078936
beijing;na;china;beijinguniversityofchemicaltechnology;15;2023-06-01;;16251.925428963288
tunis;na;tunisia;randd.euranova;3;2023-06-01;;279.26120127661943
beijing;na;china;bytedanceltd.;1;2023-06-01;;16251.925428963288
seoul;na;southkorea;instituteforindustrialsystemsinnovation;33;2023-06-01;;577.7896951119151
tokyo;na;japan;neccorporation;1;2023-05-24;;2183.257105688409
brussels;na;belgium;europeancommissionjointresearchcentre;56;2023-05-19;;164.53809274643118
;na;na;na;6;2023-05-18;;
;na;na;na;7;2023-05-18;;
;na;taiwan;nationalkaohsiunguniversityofscienceandtechnology;18;2023-05-15;;
shanghai;na;china;keylaboratoryofroadandtrafficengineeringofthestateministryofeducation;49;2023-05-15;;6746.037435237712
manila;na;philippines;delasalleuniversity;0;2023-05-12;;49.164154935471664
;na;india;icar-indianagriculturalstatisticsresearchinstitute,newdelhi;9;2023-05-10;;
;na;unitedkingdom;imperialcollegelondon;30;2023-05-10;;
;na;indonesia;universitasbinasaranainformatika;0;2023-05-09;;
;na;hongkong;cityuniversityofhongkong;1;2023-05-09;;
chongqing;na;china;southwestuniversity;10;2023-05-02;;82362.54643078936
beijing;na;china;beijinginstituteoftechnology;0;2023-05-01;;16251.925428963288
chongqing;na;china;chongqinguniversityofscienceandtechnology;1;2023-05-01;;82362.54643078936
bogota;na;colombia;institutodeinvestigacionderecursosbiologicosalexandervonhumboldt,bogota;4;2023-05-01;;1669.990644816934
;na;taiwan;tamkanguniversity;20;2023-05-01;;
;na;taiwan;kaohsiungmedicaluniversitychung-homemorialhospital;5;2023-05-01;;
;na;india;keshavmahavidyalaya;1;2023-05-01;;
beijing;na;china;"chineseacademyofmedicalsciences&amp;pekingunionmedicalcollege";11;2023-05-01;;16251.925428963288
beijing;na;china;"instituteofmedicalinformation&amp;library,chineseacademyofmedicalsciences&amp;pekingunionmedicalcollege";1;2023-05-01;;16251.925428963288
tokyo;na;japan;theuniversityoftokyo;1;2023-05-01;;2183.257105688409
nicosia;na;cyprus;universityofcyprus;1;2023-05-01;;1967.9460500993875
